Country,Rank,Account,Title,Link,Subscribers count,Views avg.,Likes avg.,Comments avg.,Shares avg.,Scraped
All,-1.4732388019029934,thongsoaicavip,Thông Soái Ca,https://www.tiktok.com/@thongsoaicavip,-0.5679626570528155,1.106866615436294,0.04387703342399177,0.983879192960627,-0.013596272135260688,2022-02-07 16:54:35.641971
All,-1.4697764310407067,vhackerr,Vinnie,https://www.tiktok.com/@vhackerr,0.5933069211336599,0.276578331024307,0.41488767295956613,1.5118116122371554,-0.0183646373291924,2022-02-07 16:54:35.641971
All,-1.4663140601784201,fadiljaidi,Fadil Jaidi,https://www.tiktok.com/@fadiljaidi,-0.013719731279257562,1.0004193994860393,0.5923525144711644,0.3658119703929839,-0.03684205245567777,2022-02-07 16:54:35.641971
All,-1.4628516893161334,seventeen17_official,SEVENTEEN,https://www.tiktok.com/@seventeen17_official,-0.30803568396430847,-0.2556577487269668,0.6874024538568263,2.2715192399765503,0.020378329871502746,2022-02-07 16:54:35.641971
All,-1.4593893184538467,sucss.s,Açucena Guirra,https://www.tiktok.com/@sucss.s,0.19781985971312277,0.6597883084452241,0.784318932837675,0.39156477133330236,-0.03863018940340217,2022-02-07 16:54:35.641971
All,-1.45592694759156,usnan_tanong,Usnan Tanong,https://www.tiktok.com/@usnan_tanong,-0.6468669244929733,0.44689387654471463,-0.06868966216265308,1.6534520174089071,0.03289528850557349,2022-02-07 16:54:35.641971
All,-1.4524645767292732,adrianbliss,Adrian Bliss,https://www.tiktok.com/@adrianbliss,-0.2252593222716379,0.1914205582641032,0.49758973502322357,-0.14924404841338532,0.043624110191919835,2022-02-07 16:54:35.641971
All,-1.4490022058669865,deborahyowa,Deborah yowa,https://www.tiktok.com/@deborahyowa,-0.04131185184348109,1.553944922427364,0.21358855661712214,0.4559467736840985,-0.0445906458958168,2022-02-07 16:54:35.641971
All,-1.4455398350046997,stephaniebeatriz,Stephanie Beatriz,https://www.tiktok.com/@stephaniebeatriz,-0.5563647690423201,0.1488416718840013,0.6987452713968071,0.21129516475107313,0.0007088234465344428,2022-02-07 16:54:35.641971
All,-1.442077464142413,candrasptr_,𝗦𝗼𝗺𝗯𝘆𝗮𝗿,https://www.tiktok.com/@candrasptr_,-0.6029034790606438,0.04239445593374653,0.17453480508706168,-0.16212044888354454,0.0984603099221345,2022-02-07 16:54:35.641971
All,-1.4386150932801265,mycaninelife,My Canine Life,https://www.tiktok.com/@mycaninelife,-0.6360140237377121,-0.00018443044635537174,0.2970085185250822,-0.0591092451222707,0.07521452960171741,2022-02-07 16:54:35.641971
All,-1.4351527224178398,vinnyguadagnino,vinnyguadagnino,https://www.tiktok.com/@vinnyguadagnino,-0.4000094191783869,0.7236566380153769,0.07374166694697919,-0.29088445358513687,0.03289528850557349,2022-02-07 16:54:35.641971
All,-1.431690351555553,nguyenphucloi30,Phúc Lợi Vlogs 🇻🇳,https://www.tiktok.com/@nguyenphucloi30,-0.5563647690423201,0.23399944464420508,-0.29023355411442986,4.357496116142346,0.03051110590860763,2022-02-07 16:54:35.641971
All,-1.4282279806932663,tydollasign,Ty Dolla $ign,https://www.tiktok.com/@tydollasign,-0.5953064485319609,0.29786777421435795,0.9278989016981913,-0.17499684935370377,-0.01061604388905337,2022-02-07 16:54:35.641971
All,-1.4247656098309796,vanessalopesr,Vanessa Lopes,https://www.tiktok.com/@vanessalopesr,1.1267545853753147,0.6384988652551732,0.3903354982844178,0.3658119703929839,-0.027901367717055817,2022-02-07 16:54:35.641971
All,-1.4213032389686928,tifannylm,⚡️TEF,https://www.tiktok.com/@tifannylm,0.04146450984918948,1.0642877290561923,1.0714788705587077,0.04390195863900315,-0.05710760452988754,2022-02-07 16:54:35.641971
All,-1.417840868106406,lelepons,Lele Pons,https://www.tiktok.com/@lelepons,1.7613733583524556,0.9365510699158864,0.6434669833855082,-0.26513165264481836,-0.027901367717055817,2022-02-07 16:54:35.641971
All,-1.4143784972441193,mynamsissihab,Mynameissihab,https://www.tiktok.com/@mynamsissihab,-0.5811608880560357,0.7449460812054279,0.5159679710373697,-0.03335644418195224,-0.027305322067814355,2022-02-07 16:54:35.641971
All,-1.4109161263818328,jakefellman,Jake Fellman,https://www.tiktok.com/@jakefellman,0.4553463183125423,0.9578405131059372,0.21531151624344835,0.5074523755647354,-0.04101437200036802,2022-02-07 16:54:35.641971
All,-1.407453755519546,thoriqhal,thariqhalilintar,https://www.tiktok.com/@thoriqhal,-0.34482517804993984,0.9152616267258356,0.9278989016981913,0.04390195863900315,-0.05233923933595583,2022-02-07 16:54:35.641971
All,-1.4039913846572594,adinross,adin,https://www.tiktok.com/@adinross,-0.2252593222716379,0.44689387654471463,0.554160242754267,0.30142996804218775,-0.03266973291098753,2022-02-07 16:54:35.641971
All,-1.4005290137949726,kallmekris,Kris HC,https://www.tiktok.com/@kallmekris,3.2697426158633416,0.4043149901646127,0.9278989016981913,0.08253116004948084,-0.0380341437541607,2022-02-07 16:54:35.641971
