founded,employees,job_openings,FoundedYears,founded_binary,employees_binary,job_openings_binary
2017.0,95.0,1.0,6.0,2017.0,95.0,1.0
2016.0,765.0,4.0,7.0,2016.0,765.0,4.0
2016.0,765.0,8.57356076759062,7.0,2016.0,765.0,8.57356076759062
2012.5448798988623,139.0,1.0,,2012.5448798988623,139.0,1.0
2012.5448798988623,624.0,1.0,,2012.5448798988623,624.0,1.0
2012.5448798988623,189.0,1.0,,2012.5448798988623,189.0,1.0
2009.0,764.0,1.0,14.0,2009.0,764.0,1.0
2016.0,218.0,37.0,7.0,2016.0,218.0,37.0
2012.5448798988623,267.0,1.0,,2012.5448798988623,267.0,1.0
1978.0,257.0,1.0,45.0,1978.0,257.0,1.0
2007.0,650.0,179.0,16.0,2007.0,650.0,179.0
2006.0,871.0,8.57356076759062,17.0,2006.0,871.0,8.57356076759062
2006.0,871.0,1.0,17.0,2006.0,871.0,1.0
2015.0,619.0,1.0,8.0,2015.0,619.0,1.0
2011.0,651.0,1.0,12.0,2011.0,651.0,1.0
2014.0,404.0,8.57356076759062,9.0,2014.0,404.0,8.57356076759062
2019.0,539.0,1.0,4.0,2019.0,539.0,1.0
1985.0,163.0,1.0,38.0,1985.0,163.0,1.0
2018.0,58.0,1.0,5.0,2018.0,58.0,1.0
2017.0,56.0,1.0,6.0,2017.0,56.0,1.0
2017.0,94.0,3.0,6.0,2017.0,94.0,3.0
1971.0,88.0,1.0,52.0,1971.0,88.0,1.0
2016.0,537.0,48.0,7.0,2016.0,537.0,48.0
2009.0,402.0,5.0,14.0,2009.0,402.0,5.0
2008.0,897.0,15.0,15.0,2008.0,897.0,15.0
2012.5448798988623,158.0,1.0,,2012.5448798988623,158.0,1.0
2020.0,53.0,1.0,3.0,2020.0,53.0,1.0
2012.0,692.0,4.0,11.0,2012.0,692.0,4.0
1993.0,786.0,63.0,30.0,1993.0,786.0,63.0
2016.0,228.0,1.0,7.0,2016.0,228.0,1.0
2014.0,433.0,1.0,9.0,2014.0,433.0,1.0
2019.0,445.0,8.57356076759062,4.0,2019.0,445.0,8.57356076759062
2016.0,447.0,47.0,7.0,2016.0,447.0,47.0
1980.0,284.0,1.0,43.0,1980.0,284.0,1.0
2015.0,29.0,1.0,8.0,2015.0,29.0,1.0
2011.0,246.0,9.0,12.0,2011.0,246.0,9.0
2009.0,611.0,1.0,14.0,2009.0,611.0,1.0
2017.0,414.0,17.0,6.0,2017.0,414.0,17.0
2012.5448798988623,349.0,1.0,,2012.5448798988623,349.0,1.0
2016.0,894.0,1.0,7.0,2016.0,894.0,1.0
2018.0,423.0,44.0,5.0,2018.0,423.0,44.0
